wavelength_nm,intensity_au
3.613608482048115889e+02,-7.372859938636388069e-04
3.614696585350058058e+02,1.217670635757713742e-03
3.615784765215169614e+02,-8.626037265316742128e-04
3.616873021615193693e+02,-3.362692493259254538e-04
3.617961354521872295e+02,2.019704124833140556e-03
3.619049763906948556e+02,2.652558674806446029e-04
3.620138249742165044e+02,5.660184258839296313e-04
3.621226811999264328e+02,1.167543542690499580e-03
3.622315450649989543e+02,6.412090654847508748e-04
3.623404165666083259e+02,1.042225810022464174e-03
3.624492957019288042e+02,1.242734182291320823e-03
3.625581824681347030e+02,1.650016813462162511e-04
3.626670768624002790e+02,-6.620953542628175634e-04
3.627759788818997322e+02,-9.377943661324954563e-04
3.628848885238074899e+02,1.217670635757713742e-03
3.629938057852976385e+02,1.242734182291320823e-03
3.631027306635446052e+02,-1.238556924535780430e-03
3.632116631557225901e+02,1.217670635757713742e-03
3.633206032590059067e+02,1.443242554560177473e-03
3.634295509705687550e+02,-2.360150631914971020e-04
3.635385062875855056e+02,-7.372859938636388069e-04
3.636474692072303583e+02,1.148745882790020752e-04
3.637564397266775700e+02,4.407006932158941711e-04
3.638654178431015112e+02,-3.362692493259254538e-04
3.639744035536763249e+02,-2.109515166578900208e-04
3.640833968555764386e+02,3.968394867818082484e-05
3.641923977459759953e+02,-1.138302738401352106e-03
3.643014062220493088e+02,-3.112057027923183727e-04
3.644104222809706926e+02,-1.439065296804637080e-03
3.645194459199143466e+02,1.317924821892142067e-03
3.646284771360546415e+02,2.401923209470374946e-04
3.647375159265657203e+02,9.670351704216429301e-04
3.648465622886219535e+02,5.660184258839296313e-04
3.649556162193975979e+02,1.543496740694605797e-03
3.650646777160669103e+02,-4.866505285275679409e-04
3.651737467758042044e+02,1.462040214457373858e-05
3.652828233957836801e+02,-1.357608770570687773e-04
3.653919075731796511e+02,9.670351704216429301e-04
3.655009993051663741e+02,-6.620953542628175634e-04
3.656100985889181629e+02,3.655100536150729276e-04
3.657192054216092743e+02,-1.138302738401352106e-03
3.658283198004139649e+02,-6.057023745624751343e-05
3.659374417225064917e+02,-1.608244235906758585e-04
3.660465711850611683e+02,-6.871589007964246446e-04
3.661557081852522515e+02,-1.138302738401352106e-03
3.662648527202539981e+02,-2.861421562587112915e-04
3.663740047872407217e+02,1.399381348126091699e-04
3.664831643833866224e+02,-4.866505285275679409e-04
3.665923315058660705e+02,3.153829605478587652e-04
3.667015061518532661e+02,3.404465070814658464e-04
3.668106883185225229e+02,-2.109515166578900208e-04
3.669198780030480407e+02,-1.564383029472672486e-03
3.670290752026041901e+02,-1.188429831468566268e-03
3.671382799143652278e+02,-1.357608770570687773e-04
3.672474921355053539e+02,-5.367776215947821575e-04
3.673567118631988819e+02,-4.114598889267466974e-04
3.674659390946201256e+02,1.042225810022464174e-03
3.675751738269433417e+02,4.657642397495012523e-04
3.676844160573427303e+02,-1.213493378002173349e-03
3.677936657829926617e+02,1.593623833761819960e-03
3.679029230010673359e+02,-1.288684017602994593e-03
3.680121877087410667e+02,1.418179008026570391e-03
3.681214599031881107e+02,-8.563378398985460138e-05
3.682307395815827249e+02,-3.112057027923183727e-04
3.683400267410992797e+02,-7.623495403972458881e-04
3.684493213789119181e+02,-1.639573669073493946e-03
3.685586234921949540e+02,-6.370318077292104822e-04
3.686679330781227009e+02,-2.861421562587112915e-04
3.687772501338694155e+02,3.968394867818082484e-05
3.688865746566093549e+02,3.905736001486800088e-04
3.689959066435168324e+02,-6.620953542628175634e-04
3.691052460917659914e+02,7.414632516191791995e-04
3.692145929985312591e+02,-3.550669092264043225e-05
3.693239473609868924e+02,-1.739827855207922271e-03
3.694333091763070342e+02,-6.057023745624751343e-05
3.695426784416661121e+02,1.399381348126091699e-04
3.696520551542383259e+02,-2.109515166578900208e-04
3.697614393111979325e+02,-8.876672730652812940e-04
3.698708309097191886e+02,1.399381348126091699e-04
3.699802299469764648e+02,5.409548793503225501e-04
3.700896364201439610e+02,-9.628579126661025375e-04
3.701990503263959909e+02,-2.610786097251042103e-04
3.703084716629067543e+02,-2.040590413611207028e-03
3.704179004268505651e+02,-6.370318077292104822e-04
3.705273366154017367e+02,-3.613327958595325350e-04
3.706367802257345261e+02,7.414632516191791995e-04
